RFM_Segment,data_usage_segment,voice_usage_segment,data_usage_trend,voice_usage_trend,Customer Signal,Customer Meaning,segment,Opportunity,NBO_Action,Subs,TR,DR,VR
Lost,Zero,very_high,Early Recovery,Gradual Growth,Steady Elite Recovery,Both channels gradually improving,Recovery Opportunity,Upsell,VIP smart bundle,,,,
Lost,Zero,very_high,Early Recovery,Rapid Expansion,Ultra Voice Surge Recovery,Elite voice rapidly growing,Elite Returner,Premium Upsell,VIP engagement max,,,,
Lost,Zero,very_high,Early Recovery,no_trend,Data Recovery Static Ultra Voice,"Data recovers, elite voice static",Recovery Opportunity,Cross-sell,VIP sustain combo,,,,
Lost,Zero,very_high,Strong Growth,Declining,Data Growth Ultra Voice Drop,Data surges while elite voice declines,Recovery Opportunity,Upsell,VIP data comeback,,,,
Lost,Zero,very_high,Strong Growth,Dormant,Data Returner Ultra Silent,"Strong data, ultra voice dormant",Recovery Opportunity,Cross-sell,VIP data premium,,,,
Lost,Zero,very_high,Strong Growth,Early Recovery,Data Strong Ultra Voice Early,"Strong data, voice recovering",Elite Returner,Upsell,VIP smart relaunch,,,,
Lost,Zero,very_high,Strong Growth,Strong Growth,Full Elite Comeback,Both channels strongly reactivated from lost,Elite Reactivated,Premium Upsell,VIP full comeback,,,,
Lost,Zero,very_high,Strong Growth,Gradual Growth,Data-led Elite Balanced Growth,"Data strong, voice steady",Elite Returner,Upsell,VIP growth premium,,,,
Lost,Zero,very_high,Strong Growth,Rapid Expansion,Power Elite Returner,Both channels aggressively accelerating,Elite Returner,Premium Upsell,VIP power bundle,,,,
Lost,Zero,very_high,Strong Growth,no_trend,Data Active Static Ultra Voice,"Data strong, voice static",Recovery Opportunity,Upsell,VIP data-focused max,,,,
Lost,Zero,very_high,Gradual Growth,Declining,Data Slow Recovery Ultra Risk,"Data gradual, voice declining",Recovery Opportunity,Retention,VIP data nurture,,,,
Lost,Zero,very_high,Gradual Growth,Dormant,Data Gradual Silent Ultra Voice,"Data improving, voice weak",Recovery Opportunity,Cross-sell,VIP reconnect premium,,,,
Lost,Zero,very_high,Gradual Growth,Early Recovery,Steady Elite Recovery Path,Both channels slowly recovering,Recovery Opportunity,Upsell,VIP steady combo,,,,
Lost,Zero,very_high,Gradual Growth,Strong Growth,Ultra Voice-led Gradual Data Return,"Elite voice strong, data gradual",Elite Returner,Upsell,VIP smart growth,,,,
Lost,Zero,very_high,Gradual Growth,Gradual Growth,Balanced Elite Recovery,Both channels steady,Recovery Opportunity,Upsell,VIP balanced premium,,,,
Lost,Zero,very_high,Gradual Growth,Rapid Expansion,Ultra Voice Rapid with Data Growth,"Elite voice rapid, data steady",Elite Returner,Premium Upsell,VIP accelerated combo,,,,
Lost,Zero,very_high,Gradual Growth,no_trend,Data Gradual Static Ultra Voice,"Data improving, voice static",Monitor + Recovery,Monitor,VIP awareness premium,,,,
Lost,Zero,very_high,Rapid Expansion,Declining,Data Explosion Ultra Voice Drop,"Data rapidly surges, elite voice drops",Elite Returner,Upsell,VIP relaunch max,,,,
Lost,Zero,very_high,Rapid Expansion,Dormant,Data Rapid Recovery Ultra Silent,"Data explosive, voice dormant",Recovery Opportunity,Upsell,VIP rapid premium,,,,
Lost,Zero,very_high,Rapid Expansion,Early Recovery,Data Surge Ultra Voice Return,"Data surges, elite voice starts return",Elite Returner,Premium Upsell,VIP rapid combo,,,,
Lost,Zero,very_high,Rapid Expansion,Strong Growth,High Power Elite Returner,Both channels strongly return,Elite Returner,Premium Upsell,VIP elite power,,,,
Lost,Zero,very_high,Rapid Expansion,Gradual Growth,Data Fast Ultra Voice Steady,"Data rapid, voice gradual",Elite Returner,Upsell,VIP advanced premium,,,,
Lost,Zero,very_high,Rapid Expansion,Rapid Expansion,Reborn VIP Elite User,Complete aggressive elite recovery,VIP Elite Returner,Premium Upsell,Ultimate VIP comeback,,,,
Lost,Zero,very_high,Rapid Expansion,no_trend,Data Surge Static Ultra Voice,"Data explodes, voice static",Recovery Opportunity,Upsell,VIP data-only max,,,,
Lost,Zero,very_high,no_trend,Declining,Static Lost Declining Ultra Voice,"No data, elite voice falling",Critical Premium Churn,Win-back,VIP voice protect,,,,
Lost,Zero,very_high,no_trend,Dormant,Static Silent Ultra Voice Lost,"No data, elite dormant voice",Silent Premium Churn,Monitor,VIP passive recovery,,,,
Lost,Zero,very_high,no_trend,Early Recovery,Ultra Voice Early Return Static Data,Elite voice begins recovery,Recovery Opportunity,Reactivation,VIP starter,,,,
Lost,Zero,very_high,no_trend,Strong Growth,Ultra Voice Strong Return Static Data,Elite voice strongly rebounds,Recovery Opportunity,Upsell,VIP voice max,,,,
Lost,Zero,very_high,no_trend,Gradual Growth,Ultra Voice Gradual Return Static Data,Elite voice slowly improves,Recovery Opportunity,Reactivation,VIP nurture,,,,
Lost,Zero,very_high,no_trend,Rapid Expansion,Ultra Voice Rapid Return Static Data,Elite voice rapidly expands,Elite Returner,Premium Upsell,VIP elite max,,,,
Lost,Zero,very_high,no_trend,no_trend,Fully Static Ultra Voice Lost,"No data, very high voice static long-term",Silent Premium Churn,Monitor,VIP long-term engagement,,,,
Lost,Zero,Zero,Declining,Declining,Fully Lost,Complete disengagement in both data and voice with continued decline,Severe Churn,Win-back,Critical win-back campaign,,,,
Lost,Zero,Zero,Declining,Dormant,Fully Lost,Data declining while voice already inactive,Severe Churn,Win-back,Data revival offer,,,,
Lost,Zero,Zero,Declining,Early Recovery,Data Reawakening Lost,Data shows early return but voice absent,Recovery Opportunity,Reactivation,Starter data comeback pack,,,,
Lost,Zero,Zero,Declining,Strong Growth,Voice Reawakening Lost,Voice rebounds strongly while data remains lost,Cross-Channel Recovery,Cross-sell,Voice-led combo revival,,,,
Lost,Zero,Zero,Declining,Gradual Growth,Voice Recovery Lost,"Voice slowly recovering, data still declining",Cross-Channel Recovery,Cross-sell,Voice nurture plan,,,,
Lost,Zero,Zero,Declining,Rapid Expansion,Voice Revival Lost,"Voice sharply returns, data absent",Cross-Channel Recovery,Upsell,Voice premium comeback,,,,
Lost,Zero,Zero,Declining,no_trend,Fully Lost,Data declining with stagnant voice inactivity,Severe Churn,Retention,Last-attempt save offer,,,,
Lost,Zero,Zero,Dormant,Declining,Fully Lost,Voice declining while data inactive,Severe Churn,Win-back,Voice rescue offer,,,,
Lost,Zero,Zero,Dormant,Dormant,Fully Lost,Complete inactivity across both services,Silent Churn,Win-back,Deep reactivation offer,,,,
Lost,Zero,Zero,Dormant,Early Recovery,Voice Reawakening Lost,Voice early return from dormant state,Recovery Opportunity,Reactivation,Voice starter pack,,,,
Lost,Zero,Zero,Dormant,Strong Growth,Voice Returner Lost,Strong voice return while data inactive,Recovery Opportunity,Cross-sell,Voice-first comeback bundle,,,,
Lost,Zero,Zero,Dormant,Gradual Growth,Voice Recovery Lost,Voice gradually returning,Recovery Opportunity,Reactivation,Gradual voice return pack,,,,
Lost,Zero,Zero,Dormant,Rapid Expansion,Voice Revival Lost,Rapid voice comeback from churn,Recovery Opportunity,Upsell,Premium voice comeback,,,,
Lost,Zero,Zero,Dormant,no_trend,Fully Lost,Dormant data with stagnant voice,Silent Churn,Monitor,Awareness reactivation,,,,
Lost,Zero,Zero,Early Recovery,Declining,Data Reawakening Lost,Data returning while voice declines,Recovery Opportunity,Reactivation,Data starter revival,,,,
Lost,Zero,Zero,Early Recovery,Dormant,Data Reawakening Lost,Data recovering while voice dormant,Recovery Opportunity,Cross-sell,Data-first bundle,,,,
Lost,Zero,Zero,Early Recovery,Early Recovery,Reawakening Lost,Both services showing early signs of comeback,Recovery Opportunity,Reactivation,Dual-service comeback starter,,,,
Lost,Zero,Zero,Early Recovery,Strong Growth,Recovered Lost,Voice strong growth plus data early recovery,Reactivated Segment,Upsell,Combo growth bundle,,,,
Lost,Zero,Zero,Early Recovery,Gradual Growth,Recovering Lost,Both services improving steadily,Recovery Opportunity,Upsell,Gradual combo offer,,,,
Lost,Zero,Zero,Early Recovery,Rapid Expansion,High Recovery Lost,Sharp voice comeback with data return,Growth Returner,Upsell,Premium re-entry plan,,,,
Lost,Zero,Zero,Early Recovery,no_trend,Data Reawakening Lost,Data active but voice static,Recovery Opportunity,Cross-sell,Data sustain pack,,,,
Lost,Zero,Zero,Strong Growth,Declining,Data Revival Lost,Data sharply returns while voice declines,Recovery Opportunity,Cross-sell,Data-led revival,,,,
Lost,Zero,Zero,Strong Growth,Dormant,Data Revival Lost,"Strong data comeback, voice dormant",Recovery Opportunity,Cross-sell,Data premium starter,,,,
Lost,Zero,Zero,Strong Growth,Early Recovery,Recovered Lost,"Data strong, voice early recovery",Reactivated Segment,Upsell,Growth combo pack,,,,
Lost,Zero,Zero,Strong Growth,Strong Growth,Reborn Customer,Both channels strongly reactivated,Growth Returner,Upsell,Full premium comeback,,,,
Lost,Zero,Zero,Strong Growth,Gradual Growth,Recovered Lost,"Data strong, voice steady recovery",Growth Returner,Upsell,Smart comeback bundle,,,,
Lost,Zero,Zero,Strong Growth,Rapid Expansion,High Value Returner,"Data strong, voice explosive comeback",Growth Returner,Premium Upsell,VIP reactivation offer,,,,
Lost,Zero,Zero,Strong Growth,no_trend,Data Revival Lost,"Data returns strongly, voice stagnant",Recovery Opportunity,Upsell,Data booster premium,,,,
Lost,Zero,Zero,Gradual Growth,Declining,Data Recovery Lost,"Data gradual recovery, voice declines",Recovery Opportunity,Reactivation,Progressive data saver,,,,
Lost,Zero,Zero,Gradual Growth,Dormant,Data Recovery Lost,"Data returning, voice dormant",Recovery Opportunity,Cross-sell,Data reconnect pack,,,,
Lost,Zero,Zero,Gradual Growth,Early Recovery,Recovering Lost,Both channels recovering gradually,Recovery Opportunity,Upsell,Combo nurture pack,,,,
Lost,Zero,Zero,Gradual Growth,Strong Growth,Recovered Lost,"Voice strong, data gradual recovery",Growth Returner,Upsell,Voice-data booster,,,,
Lost,Zero,Zero,Gradual Growth,Gradual Growth,Recovering Lost,Steady comeback across both channels,Recovery Opportunity,Upsell,Steady return combo,,,,
Lost,Zero,Zero,Gradual Growth,Rapid Expansion,High Recovery Lost,Voice rapid comeback with data gradual,Growth Returner,Upsell,Fast-track combo,,,,
Lost,Zero,Zero,Gradual Growth,no_trend,Data Recovery Lost,"Data improving, voice flat",Recovery Opportunity,Monitor,Data sustain offer,,,,
Lost,Zero,Zero,Rapid Expansion,Declining,Data Revival Lost,Data explodes back while voice declines,Recovery Opportunity,Upsell,Data-led premium return,,,,
Lost,Zero,Zero,Rapid Expansion,Dormant,Data Revival Lost,"Rapid data return, voice absent",Recovery Opportunity,Upsell,Data comeback premium,,,,
Lost,Zero,Zero,Rapid Expansion,Early Recovery,Recovered Lost,"Data rapid, voice early return",Growth Returner,Upsell,Premium combo starter,,,,
Lost,Zero,Zero,Rapid Expansion,Strong Growth,High Value Returner,Both services surging back,Growth Returner,Premium Upsell,Elite comeback bundle,,,,
Lost,Zero,Zero,Rapid Expansion,Gradual Growth,Recovered Lost,"Data explosive, voice gradual",Growth Returner,Upsell,Advanced combo bundle,,,,
Lost,Zero,Zero,Rapid Expansion,Rapid Expansion,Reborn Premium Customer,Complete rapid reactivation in both channels,Reactivated Segment,Premium Upsell,VIP loyalty relaunch,,,,
Lost,Zero,Zero,Rapid Expansion,no_trend,Data Revival Lost,"Rapid data growth, stagnant voice",Recovery Opportunity,Upsell,Data-max plan,,,,
Lost,Zero,Zero,no_trend,Declining,Static Lost,"Inactive data, declining voice",Churn Risk,Win-back,Voice save attempt,,,,
Lost,Zero,Zero,no_trend,Dormant,Static Lost,Inactive across channels with no trend,Silent Churn,Monitor,Passive win-back,,,,
Lost,Zero,Zero,no_trend,Early Recovery,Voice Reawakening Lost,Voice early recovery only,Recovery Opportunity,Cross-sell,Voice starter,,,,
Lost,Zero,Zero,no_trend,Strong Growth,Voice Returner Lost,Strong voice return from zero,Recovery Opportunity,Upsell,Voice comeback premium,,,,
Lost,Zero,Zero,no_trend,Gradual Growth,Voice Recovery Lost,Gradual voice return,Recovery Opportunity,Reactivation,Voice nurture,,,,
Lost,Zero,Zero,no_trend,Rapid Expansion,Voice Revival Lost,Rapid voice expansion from lost state,Growth Returner,Upsell,Voice max comeback,,,,
Lost,Zero,Zero,no_trend,no_trend,Fully Static Lost,No usage and no movement at all,Silent Churn,Monitor,Long-term awareness campaign,,,,
Loyal Customers,low,low,Declining,Declining,Loyal Low Usage Decline,Both low data and low voice declining,Loyalty Erosion Risk,Retention,Protect baseline loyalty,,,,
Loyal Customers,low,low,Declining,Dormant,Low Engagement Fade,Data and voice slipping dormant,At-Risk Loyalty,Retention,Re-engagement starter,,,,
Loyal Customers,low,low,Declining,Early Recovery,Early Bounce Low User,Low user showing first recovery signs,Recovery Segment,NBO,Starter combo,,,,
Loyal Customers,low,low,Declining,Strong Growth,Voice-Led Low Recovery,Voice accelerates despite weak base,Growth Segment,Upsell,Voice growth pack,,,,
Loyal Customers,low,low,Declining,Gradual Growth,Steady Low Return,Slow rebuild from decline,Recovery Segment,NBO,Low nurture,,,,
Loyal Customers,low,low,Declining,Rapid Expansion,Fast Low Rebound,Rapid rebound from low base,Growth Segment,Upsell,Combo booster,,,,
Loyal Customers,low,low,Declining,no_trend,Low Decline Unclear,Weak decline with uncertain pattern,Monitor Segment,Monitor,Behavior watch,,,,
Loyal Customers,low,low,Dormant,Declining,Dormant Low Collapse,Dormant user further declining,Critical Loyalty Risk,Retention,Urgent win-back,,,,
Loyal Customers,low,low,Dormant,Dormant,Fully Dormant Loyal Low,Both channels dormant,Severe Churn,Retention,Reactivation campaign,,,,
Loyal Customers,low,low,Dormant,Early Recovery,Low Awakening Loyal,User slowly returns,Recovery Segment,NBO,Reconnect offer,,,,
Loyal Customers,low,low,Dormant,Strong Growth,Strong Recovery From Dormancy,Strong comeback from inactivity,Growth Segment,Upsell,Growth relaunch,,,,
Loyal Customers,low,low,Dormant,Gradual Growth,Slow Dormant Recovery,Gradual recovery path,Recovery Segment,NBO,Nurture bundle,,,,
Loyal Customers,low,low,Dormant,Rapid Expansion,Rapid Dormant Revival,Fast reactivation,Growth Segment,Upsell,Expansion bundle,,,,
Loyal Customers,low,low,Dormant,no_trend,Dormant Low Watch,Inactive but uncertain,Monitor Segment,Observe,Close watch,,,,
Loyal Customers,low,low,Early Recovery,Declining,Recovery Instability Low,Recovery weakens,Risk Segment,NBO,Stabilize engagement,,,,
Loyal Customers,low,low,Early Recovery,Dormant,Recovery Stall Low,Early comeback fading,Recovery Segment,NBO,Reactivation push,,,,
Loyal Customers,low,low,Early Recovery,Early Recovery,Balanced Low Recovery,Both channels slowly recovering,Recovery Segment,NBO,Starter nurture,,,,
Loyal Customers,low,low,Early Recovery,Strong Growth,Voice Momentum Low,Voice leads recovery,Growth Segment,Upsell,Voice combo,,,,
Loyal Customers,low,low,Early Recovery,Gradual Growth,Healthy Low Rebuild,Steady balanced return,Recovery Segment,NBO,Loyal nurture,,,,
Loyal Customers,low,low,Early Recovery,Rapid Expansion,Power Low Recovery,Rapid growth from recovery,Growth Segment,Upsell,Accelerator pack,,,,
Loyal Customers,low,low,Early Recovery,no_trend,Recovery Pattern Unclear,Recovery unclear,Monitor Segment,Observe,Track trend,,,,
Loyal Customers,low,low,Strong Growth,Declining,Data Up Voice Weak Low,"Data rising, voice slipping",Mixed Opportunity,NBO,Voice saver,,,,
Loyal Customers,low,low,Strong Growth,Dormant,Data Growth Only Low,"Data active, voice dormant",Data-Led Segment,Upsell,Voice onboarding,,,,
Loyal Customers,low,low,Strong Growth,Early Recovery,Dual Recovery Low,Data growth + voice return,Growth Segment,NBO,Bundle intro,,,,
Loyal Customers,low,low,Strong Growth,Strong Growth,Low Loyal Growth User,Both channels strongly growing,Peak Growth Segment,Upsell,Full combo,,,,
Loyal Customers,low,low,Strong Growth,Gradual Growth,Healthy Low Expansion,Strong balanced expansion,Growth Segment,NBO,Loyal upgrade,,,,
Loyal Customers,low,low,Strong Growth,Rapid Expansion,Hyper Low Loyal Growth,Rapid full growth,Peak Growth Segment,Upsell,Premium growth,,,,
Loyal Customers,low,low,Strong Growth,no_trend,Data Strong Stable Low,"Data strong, voice flat",Opportunity Segment,Upsell,Voice add-on,,,,
Loyal Customers,low,low,Gradual Growth,Declining,Gradual User Weakness,Slow progress but slipping,Mixed Risk,NBO,Protect growth,,,,
Loyal Customers,low,low,Gradual Growth,Dormant,Gradual Stall Low,User growth slows dormant,Recovery Segment,NBO,Reignite,,,,
Loyal Customers,low,low,Gradual Growth,Early Recovery,Steady Rebuild Low,Gradual + early recovery,Recovery Segment,NBO,Starter combo,,,,
Loyal Customers,low,low,Gradual Growth,Strong Growth,Voice Edge Low,Voice stronger than data,Growth Segment,Upsell,Voice booster,,,,
Loyal Customers,low,low,Gradual Growth,Gradual Growth,Stable Loyal Low,Balanced gradual loyalty,Stable Segment,NBO,Consistency plan,,,,
Loyal Customers,low,low,Gradual Growth,Rapid Expansion,Fast Expansion Low,Rapid scaling from gradual base,Growth Segment,Upsell,Scale-up pack,,,,
Loyal Customers,low,low,Gradual Growth,no_trend,Gradual Stable Low,Slow stable but unclear,Monitor Segment,Observe,Behavior watch,,,,
Loyal Customers,low,low,Rapid Expansion,Declining,Data Spike Low Risk,Rapid growth but weak sustainability,Volatile Segment,Retention,Balance saver,,,,
Loyal Customers,low,low,Rapid Expansion,Dormant,Data Spike Stall Low,Rapid data but inactive voice,Data Opportunity,Upsell,Voice launch,,,,
Loyal Customers,low,low,Rapid Expansion,Early Recovery,Fast Recovery Low,Rapid data + recovery,Growth Segment,Upsell,Combo relaunch,,,,
Loyal Customers,low,low,Rapid Expansion,Strong Growth,Hyper Low Growth User,Both channels booming,Peak Growth Segment,Upsell,Top-tier combo,,,,
Loyal Customers,low,low,Rapid Expansion,Gradual Growth,Data Surge Stable Low,"Rapid data, steady voice",Growth Segment,NBO,Bundle optimize,,,,
Loyal Customers,low,low,Rapid Expansion,Rapid Expansion,Full Low Expansion,Max expansion both sides,Peak Growth Segment,Upsell,Ultimate bundle,,,,
Loyal Customers,low,low,Rapid Expansion,no_trend,Rapid Low Monitor,Rapid but unclear,Monitor Segment,Observe,Close watch,,,,
Loyal Customers,low,low,no_trend,Declining,Stable Low Decline Loyal,Stable low user slipping,Risk Segment,Retention,Protect loyalty,,,,
Loyal Customers,low,low,no_trend,Dormant,Stable Low Dormancy,Flat low engagement dormant,Churn Segment,Retention,Reactivation,,,,
Loyal Customers,low,low,no_trend,Early Recovery,Low Awakening Loyal,Low user starts returning,Recovery Segment,NBO,Starter offer,,,,
Loyal Customers,low,low,no_trend,Strong Growth,Low Growth Spark Loyal,Strong rise from flat base,Growth Segment,Upsell,Growth booster,,,,
Loyal Customers,low,low,no_trend,Gradual Growth,Steady Low Return Loyal,Gradual return,Recovery Segment,NBO,Nurture,,,,
Loyal Customers,low,low,no_trend,Rapid Expansion,Low Hyper Growth Loyal,Rapid rise from low flat,Growth Segment,Upsell,Premium starter,,,,
Loyal Customers,low,low,no_trend,no_trend,Stable Loyal Low User,Low data + low voice stable,Loyal Attention Segment,Monitor,Light engagement,,,,
Loyal Customers,low,medium,Declining,Declining,Low Data Medium Voice Decline,Low data and medium voice both declining,Loyalty Risk,Retention,Protect balanced loyal base,,,,
Loyal Customers,low,medium,Declining,Dormant,Voice Stability Breaking,Low data declines while medium voice fades dormant,At-Risk Loyalty,Retention,Voice reactivation,,,,
Loyal Customers,low,medium,Declining,Early Recovery,Voice Recovery Low Base,Voice recovers while data weak,Recovery Segment,NBO,Voice starter combo,,,,
Loyal Customers,low,medium,Declining,Strong Growth,Voice-Led Loyal Growth,Medium voice surges despite low data,Growth Segment,Upsell,Voice + data bundle,,,,
Loyal Customers,low,medium,Declining,Gradual Growth,Steady Voice Return,Voice gradually improving,Recovery Segment,NBO,Voice nurture,,,,
Loyal Customers,low,medium,Declining,Rapid Expansion,Voice Expansion Burst,Rapid voice rise from loyal base,Growth Segment,Upsell,Premium voice pack,,,,
Loyal Customers,low,medium,Declining,no_trend,Weak Data Stable Voice,"Data weak, voice unclear",Monitor Segment,Monitor,Behavior watch,,,,
Loyal Customers,low,medium,Dormant,Declining,Data Dormant Voice Drop,"Data dormant, voice weakening",Critical Loyalty Risk,Retention,Urgent save,,,,
Loyal Customers,low,medium,Dormant,Dormant,Low Data Medium Voice Sleep,Both channels dormant,Severe Churn,Retention,Win-back campaign,,,,
Loyal Customers,low,medium,Dormant,Early Recovery,Voice Restart Loyal,Voice slowly reactivates,Recovery Segment,NBO,Voice reconnect,,,,
Loyal Customers,low,medium,Dormant,Strong Growth,Voice Comeback Loyal,Strong voice rebound,Growth Segment,Upsell,Voice-first expansion,,,,
Loyal Customers,low,medium,Dormant,Gradual Growth,Gradual Voice Rebuild,Steady voice return,Recovery Segment,NBO,Nurture combo,,,,
Loyal Customers,low,medium,Dormant,Rapid Expansion,Rapid Voice Revival,Fast voice reactivation,Growth Segment,Upsell,Voice relaunch premium,,,,
Loyal Customers,low,medium,Dormant,no_trend,Dormant Voice Monitor,Dormant but medium voice potential,Monitor Segment,Observe,Close watch,,,,
Loyal Customers,low,medium,Early Recovery,Declining,Recovery Imbalance Low,"Data recovering, voice weakens",Risk Segment,NBO,Stabilize voice,,,,
Loyal Customers,low,medium,Early Recovery,Dormant,Data Return Voice Silent,"Data improves, voice dormant",Recovery Segment,NBO,Voice restart,,,,
Loyal Customers,low,medium,Early Recovery,Early Recovery,Balanced Recovery Loyal,Both channels recovering,Recovery Segment,NBO,Starter combo,,,,
Loyal Customers,low,medium,Early Recovery,Strong Growth,Voice Momentum Recovery,Voice outpaces data,Growth Segment,Upsell,Voice accelerator,,,,
Loyal Customers,low,medium,Early Recovery,Gradual Growth,Healthy Loyal Recovery,Steady balanced return,Recovery Segment,NBO,Loyal nurture,,,,
Loyal Customers,low,medium,Early Recovery,Rapid Expansion,Power Voice Recovery,Rapid voice-led growth,Growth Segment,Upsell,Premium growth,,,,
Loyal Customers,low,medium,Early Recovery,no_trend,Recovery Stable Voice,"Data recovers, voice stable",Monitor Segment,Observe,Track pattern,,,,
Loyal Customers,low,medium,Strong Growth,Declining,Data Growth Voice Weak,"Data rises, voice weakens",Mixed Opportunity,NBO,Voice saver,,,,
Loyal Customers,low,medium,Strong Growth,Dormant,Data Active Voice Silent,"Data strong, voice dormant",Data-Led Segment,Upsell,Voice onboarding,,,,
Loyal Customers,low,medium,Strong Growth,Early Recovery,Dual Channel Recovery,Data strong + voice returns,Growth Segment,NBO,Bundle optimize,,,,
Loyal Customers,low,medium,Strong Growth,Strong Growth,Loyal Balanced Growth,Both channels strongly growing,Peak Growth Segment,Upsell,Full bundle,,,,
Loyal Customers,low,medium,Strong Growth,Gradual Growth,Healthy Expansion,Strong data + steady voice,Growth Segment,NBO,Loyalty upgrade,,,,
Loyal Customers,low,medium,Strong Growth,Rapid Expansion,Hyper Loyal Growth,Rapid cross-channel growth,Peak Growth Segment,Upsell,Premium expansion,,,,
Loyal Customers,low,medium,Strong Growth,no_trend,Data Growth Stable Voice,"Strong data, voice stable",Opportunity Segment,Upsell,Voice add-on,,,,
Loyal Customers,low,medium,Gradual Growth,Declining,Gradual Data Voice Weak,"Slow data growth, voice weak",Mixed Risk,NBO,Protect voice,,,,
Loyal Customers,low,medium,Gradual Growth,Dormant,Gradual Data Voice Sleep,"Data gradual, voice dormant",Recovery Segment,NBO,Voice restart,,,,
Loyal Customers,low,medium,Gradual Growth,Early Recovery,Steady Recovery Path,Gradual + voice recovery,Recovery Segment,NBO,Starter nurture,,,,
Loyal Customers,low,medium,Gradual Growth,Strong Growth,Voice Strength Edge,Voice stronger than data,Growth Segment,Upsell,Voice premium,,,,
Loyal Customers,low,medium,Gradual Growth,Gradual Growth,Stable Loyal Growth,Balanced gradual growth,Stable Segment,NBO,Loyal maintenance,,,,
Loyal Customers,low,medium,Gradual Growth,Rapid Expansion,Voice Surge Loyal,Rapid voice growth,Growth Segment,Upsell,Scale-up voice,,,,
Loyal Customers,low,medium,Gradual Growth,no_trend,Gradual Stable Voice,Slow stable voice,Monitor Segment,Observe,Behavior watch,,,,
Loyal Customers,low,medium,Rapid Expansion,Declining,Data Spike Voice Risk,"Rapid data, weak voice",Volatile Segment,Retention,Balance saver,,,,
Loyal Customers,low,medium,Rapid Expansion,Dormant,Data Surge Voice Silent,"Data surges, voice dormant",Data Opportunity,Upsell,Voice relaunch,,,,
Loyal Customers,low,medium,Rapid Expansion,Early Recovery,Fast Recovery Loyal,Rapid data + voice return,Growth Segment,Upsell,Combo relaunch,,,,
Loyal Customers,low,medium,Rapid Expansion,Strong Growth,Hyper Growth Loyal,Both channels booming,Peak Growth Segment,Upsell,Top-tier combo,,,,
Loyal Customers,low,medium,Rapid Expansion,Gradual Growth,Data Surge Voice Stable,Rapid data + steady voice,Growth Segment,NBO,Bundle boost,,,,
Loyal Customers,low,medium,Rapid Expansion,Rapid Expansion,Full Loyal Expansion,Both channels max expansion,Peak Growth Segment,Upsell,Ultimate bundle,,,,
Loyal Customers,low,medium,Rapid Expansion,no_trend,Rapid Stable Monitor,Rapid but unclear,Monitor Segment,Observe,Close watch,,,,
Loyal Customers,low,medium,no_trend,Declining,Stable Voice Decline,Voice slipping from medium base,Risk Segment,Retention,Protect voice share,,,,
Loyal Customers,low,medium,no_trend,Dormant,Stable Voice Dormant,Voice dormant,Churn Segment,Retention,Voice reconnect,,,,
Loyal Customers,low,medium,no_trend,Early Recovery,Voice Awakening Loyal,Voice returns,Recovery Segment,NBO,Voice intro,,,,
Loyal Customers,low,medium,no_trend,Strong Growth,Voice Growth Loyal,Voice sharply grows,Growth Segment,Upsell,Voice premium,,,,
Loyal Customers,low,medium,no_trend,Gradual Growth,Steady Voice Return,Gradual voice return,Recovery Segment,NBO,Combo nurture,,,,
Loyal Customers,low,medium,no_trend,Rapid Expansion,Voice Hyper Growth,Rapid voice expansion,Growth Segment,Upsell,Voice max,,,,
Loyal Customers,low,medium,no_trend,no_trend,Stable Low Data Medium Voice,Low data + medium voice stable,Loyal Attention Segment,Monitor,Light expansion,,,,
Loyal Customers,low,high,Declining,Declining,Low Data High Voice Decline,High voice loyal user declining across both,Loyalty Risk,Retention,Protect premium voice base,,,,
Loyal Customers,low,high,Declining,Dormant,Voice Core Fading,Data declines while voice turns dormant,At-Risk Loyalty,Retention,Restore voice habit,,,,
Loyal Customers,low,high,Declining,Early Recovery,Voice Recovery Loyal,Voice begins recovering despite weak data,Recovery Segment,NBO,Voice comeback offers,,,,
Loyal Customers,low,high,Declining,Strong Growth,Voice-Led Loyal Growth,High voice strongly rising,Growth Segment,Upsell,Premium voice bundles,,,,
Loyal Customers,low,high,Declining,Gradual Growth,Steady Voice Loyalty,Voice steadily improving,Recovery Segment,NBO,Expand voice retention,,,,
Loyal Customers,low,high,Declining,Rapid Expansion,Voice Hyper Growth,Rapid voice growth from loyal base,Peak Growth Segment,Upsell,Maximize voice monetization,,,,
Loyal Customers,low,high,Declining,no_trend,Voice Stable Weak Data,Voice strong but unclear trend,Monitor Segment,Observe,Protect voice value,,,,
Loyal Customers,low,high,Dormant,Declining,Data Dormant Voice Weak,Low data dormant + voice weakening,Critical Risk,Retention,Prevent premium churn,,,,
Loyal Customers,low,high,Dormant,Dormant,Loyal Voice Sleep,Both channels dormant,Severe Churn,Retention,Reignite premium user,,,,
Loyal Customers,low,high,Dormant,Early Recovery,Voice Restart Premium,Voice recovering from dormancy,Recovery Segment,NBO,Voice reconnect,,,,
Loyal Customers,low,high,Dormant,Strong Growth,Premium Voice Comeback,Strong voice return,Growth Segment,Upsell,Voice-led expansion,,,,
Loyal Customers,low,high,Dormant,Gradual Growth,Gradual Voice Return,Steady premium voice rebuild,Recovery Segment,NBO,Voice nurture,,,,
